Organization Name,Funding Type,Money Raised (in USD),Announced Date,Equity Only Funding,Lead Investors,Investor Names
Sunfire,Series E,233401617,2024-03-05,Yes,,"Ahren Innovation Capital, Blue Earth Capital, Carbon Direct Capital, Carbon Equity, Climate Pledge Fund, GIC, LGT group, Lightrock, Planet First Partners"
Sunfire,Grant,184708941,2023-08-30,No,European Commission,European Commission
Sunfire,Series D,94673618,2022-03-24,Yes,"Blue Capital, Copenhagen Infrastructure Partners","Blue Capital, Copenhagen Infrastructure Partners"
Sunfire,Series D,126587718,2021-10-18,Yes,"Lightrock, Planet First Partners","HydrogenOne Capital, Lightrock, Planet First Partners"
Sunfire,Series C,28696051,2019-01-07,Yes,Paul Wurth InCub,"Idinvest Partners, Inven Capital, Paul Wurth InCub, TotalEnergies Ventures"
Sunfire,Series B,10996261,2014-02-25,Yes,,"Bilfinger Venture Capital, Carl Berninghausen, Electranova Capital, TotalEnergies Ventures"
Sunfire,Series A,7780769,2012-11-29,Yes,,"Bilfinger Venture Capital, Electranova Capital, TotalEnergies Ventures"
Sunfire,Grant,217117783,2024-03-05,No,European Union,European Union
Twelve,Series C,200000000,2024-09-19,Yes,"Capricorn Investment Group, Pulse Fund, TPG","Alaska Star Ventures, Capricorn Investment Group, Carbon Direct Capital, DCVC, Elementum Ventures, Emerson Collective, Fifth Wall, Microsoft Climate Innovation Fund, Munich Re Ventures, northstar.vc, Pulse Fund, TGVP, TPG"
Twelve,Funding Round,400000000,2024-09-19,Yes,TPG Rise Climate Fund,TPG Rise Climate Fund
Twelve,Debt Financing,45000000,2024-09-19,No,"Fundamental Renewables, Sumitomo Mitsui Banking Corporation","Fundamental Renewables, Sumitomo Mitsui Banking Corporation"
Twelve,Seed,11000000,2019-08-16,Yes,DCVC,"Aera VC, Bossa Invest, Breakout Capital, Cantos, DCVC, Elemental Impact, Elementum Ventures, Evok Innovations, GVA Capital, Lionheart Ventures, PRIME Coalition, Ranch Ventures, Rising Tide, Rough Draft Ventures, StartX (Stanford-StartX Fund), Techstars"
Twelve,Series B,130000000,2022-06-29,Yes,DCVC,"Breakout Ventures, Capricorn Investment Group, Chan Zuckerberg Initiative, DCVC, Elementum Ventures, Microsoft Climate Innovation Fund, Munich Re Ventures, northstar.vc, Page One Ventures, TGM ventures, Unruly Capital"
